Date,Close
2011-08-29,106.7
2011-08-30,106.99
2011-08-31,107.48
2011-09-01,106.31
2011-09-02,103.61
2011-09-06,102.88
2011-09-07,105.77
2011-09-08,104.65
2011-09-09,101.92
2011-09-12,102.58
2011-09-13,103.53
2011-09-14,104.97
2011-09-15,106.77
2011-09-16,107.42
2011-09-19,106.31
2011-09-20,106.21
2011-09-21,103.07
2011-09-22,99.75
2011-09-23,100.35
2011-09-26,102.74
2011-09-27,103.88
2011-09-28,101.77
2011-09-29,102.57
2011-09-30,100.01
2011-10-03,97.135
2011-10-04,99.279
2011-10-05,101.12
2011-10-06,102.96
2011-10-07,102.26
2011-10-10,105.69
2011-10-11,105.8
2011-10-12,106.71
2011-10-13,106.49
2011-10-14,108.31
2011-10-17,106.25
2011-10-18,108.32
2011-10-19,107.07
2011-10-20,107.54
2011-10-21,109.58
2011-10-24,110.91
2011-10-25,108.76
2011-10-26,109.84
2011-10-27,113.68
2011-10-28,113.66
2011-10-31,110.92
2011-11-01,107.83
2011-11-02,109.6
2011-11-03,111.58
2011-11-04,110.9
2011-11-07,111.59
2011-11-08,113.02
2011-11-09,108.85
2011-11-10,109.86
2011-11-11,111.94
2011-11-14,110.88
2011-11-15,111.44
2011-11-16,109.65
2011-11-17,107.91
2011-11-18,107.81
2011-11-21,105.76
2011-11-22,105.36
2011-11-23,103.02
2011-11-25,102.83
2011-11-28,105.81
2011-11-29,106.1
2011-11-30,110.46
2011-12-01,110.44
2011-12-02,110.35
2011-12-05,111.56
2011-12-06,111.59
2011-12-07,112.0
2011-12-08,109.57
2011-12-09,111.42
2011-12-12,109.76
2011-12-13,108.75
2011-12-14,107.61
2011-12-15,107.98
2011-12-16,108.13
2011-12-19,106.99
2011-12-20,110.23
2011-12-21,110.43
2011-12-22,111.43
2011-12-23,112.41
2011-12-27,112.5
2011-12-28,111.04
2011-12-29,112.18
2011-12-30,111.62
2012-01-03,113.41
2012-01-04,113.58
2012-01-05,113.87
2012-01-06,113.59
2012-01-09,113.86
2012-01-10,114.85
2012-01-11,114.92
2012-01-12,115.2
2012-01-13,114.59
2012-01-17,115.04
2012-01-18,116.3
2012-01-19,116.94
2012-01-20,117.01
2012-01-23,117.08
2012-01-24,116.94
2012-01-25,117.9
2012-01-26,117.31
2012-01-27,117.25
2012-01-30,116.85
2012-01-31,116.8
2012-02-01,117.81
2012-02-02,118.0
2012-02-03,119.65
2012-02-06,119.57
2012-02-07,119.87
2012-02-08,120.25
2012-02-09,120.39
2012-02-10,119.48
2012-02-13,120.39
2012-02-14,120.25
2012-02-15,119.66
2012-02-16,121.0
2012-02-17,121.32
2012-02-21,121.37
2012-02-22,120.98
2012-02-23,121.51
2012-02-24,121.78
2012-02-27,122.0
2012-02-28,122.37
2012-02-29,121.86
2012-03-01,122.5
2012-03-02,122.14
2012-03-05,121.63
2012-03-06,119.83
2012-03-07,120.7
2012-03-08,121.88
2012-03-09,122.38
2012-03-12,122.39
2012-03-13,124.57
2012-03-14,124.44
2012-03-15,125.15
2012-03-16,125.33
2012-03-19,125.83
2012-03-20,125.47
2012-03-21,125.24
2012-03-22,124.36
2012-03-23,124.73
2012-03-26,126.5
2012-03-27,126.12
2012-03-28,125.48
2012-03-29,125.26
2012-03-30,125.79
2012-04-02,126.69
2012-04-03,126.2
2012-04-04,124.93
2012-04-05,124.89
2012-04-09,123.47
2012-04-10,121.39
2012-04-11,122.41
2012-04-12,124.0
